County,FIPS,Population
"Okaloosa County, Florida",12091,207269
"Okeechobee County, Florida",12093,41537
"Orange County, Florida",12095,1380645
"Osceola County, Florida",12097,367990
"Palm Beach County, Florida",12099,1485941
"Pasco County, Florida",12101,539630
"Pinellas County, Florida",12103,975280
"Polk County, Florida",12105,708009
"Putnam County, Florida",12107,74163
"St. Johns County, Florida",12109,254261
"St. Lucie County, Florida",12111,321128
"Santa Rosa County, Florida",12113,179349
"Sarasota County, Florida",12115,426718
"Seminole County, Florida",12117,467832
"Sumter County, Florida",12119,128754
"Suwannee County, Florida",12121,44191
"Taylor County, Florida",12123,21623
"Union County, Florida",12125,14940
"Volusia County, Florida",12127,547538
"Wakulla County, Florida",12129,32461
"Walton County, Florida",12131,71375
"Washington County, Florida",12133,24880
"Appling County, Georgia",13001,18507
"Atkinson County, Georgia",13003,8297
"Bacon County, Georgia",13005,11185
"Baker County, Georgia",13007,3092
"Baldwin County, Georgia",13009,44823
"Banks County, Georgia",13011,18988
"Barrow County, Georgia",13013,80809
"Bartow County, Georgia",13015,106408
"Ben Hill County, Georgia",13017,16787
"Berrien County, Georgia",13019,19252
"Bibb County, Georgia",13021,153095
"Bleckley County, Georgia",13023,12838
"Brantley County, Georgia",13025,18897
"Brooks County, Georgia",13027,15513
"Bryan County, Georgia",13029,38109
"Bulloch County, Georgia",13031,77296
"Burke County, Georgia",13033,22423
"Butts County, Georgia",13035,24193
"Calhoun County, Georgia",13037,6352
"Camden County, Georgia",13039,53677
"Candler County, Georgia",13043,10836
"Carroll County, Georgia",13045,118121
"Catoosa County, Georgia",13047,67420
"Charlton County, Georgia",13049,12968
"Chatham County, Georgia",13051,289195
"Chattahoochee County, Georgia",13053,10684
"Chattooga County, Georgia",13055,24790
"Cherokee County, Georgia",13057,254149
"Clarke County, Georgia",13059,127330
"Clay County, Georgia",13061,2887
"Clayton County, Georgia",13063,289615
"Clinch County, Georgia",13065,6648
"Cobb County, Georgia",13067,756865
"Coffee County, Georgia",13069,43093
"Colquitt County, Georgia",13071,45592
"Columbia County, Georgia",13073,154291
"Cook County, Georgia",13075,17162
"Coweta County, Georgia",13077,145864
"Crawford County, Georgia",13079,12318
"Crisp County, Georgia",13081,22601
"Dade County, Georgia",13083,16226
"Dawson County, Georgia",13085,25083
"Decatur County, Georgia",13087,26575
"DeKalb County, Georgia",13089,756558
"Dodge County, Georgia",13091,20705
"Dooly County, Georgia",13093,13706
"Dougherty County, Georgia",13095,91243
"Douglas County, Georgia",13097,145331
"Early County, Georgia",13099,10247
"Echols County, Georgia",13101,4000
"Effingham County, Georgia",13103,62190
"Elbert County, Georgia",13105,19120
"Emanuel County, Georgia",13107,22612
"Evans County, Georgia",13109,10721
"Fannin County, Georgia",13111,25964
"Fayette County, Georgia",13113,113459
"Floyd County, Georgia",13115,97927
"Forsyth County, Georgia",13117,236612
"Franklin County, Georgia",13119,23023
"Fulton County, Georgia",13121,1050114
"Gilmer County, Georgia",13123,30816
"Glascock County, Georgia",13125,2995
"Glynn County, Georgia",13127,85219
"Gordon County, Georgia",13129,57685
"Grady County, Georgia",13131,24748
"Greene County, Georgia",13133,17698
"Gwinnett County, Georgia",13135,927781
"Habersham County, Georgia",13137,45388
"Hall County, Georgia",13139,202148
"Hancock County, Georgia",13141,8348
"Haralson County, Georgia",13143,29533
"Harris County, Georgia",13145,34475
"Hart County, Georgia",13147,26099
"Heard County, Georgia",13149,11879
"Henry County, Georgia",13151,230220
"Houston County, Georgia",13153,155469
"Irwin County, Georgia",13155,9398
"Jackson County, Georgia",13157,70422
"Jasper County, Georgia",13159,14040
"Jeff Davis County, Georgia",13161,15029
"Jefferson County, Georgia",13163,15430
"Jenkins County, Georgia",13165,8683
"Johnson County, Georgia",13167,9708
"Jones County, Georgia",13169,28616
"Lamar County, Georgia",13171,19000
"Lanier County, Georgia",13173,10340
"Laurens County, Georgia",13175,47325
"Lee County, Georgia",13177,29764
"Liberty County, Georgia",13179,61497
